Living Type,House,Diet,How Often Water,Heating Energy Source,Transport,Buying Activity,Frequency Traveling Air,Waste Bag Weekly Count,Energy Efficiency,Recycling,Cooking With,Total,Vehicle Monthly Distance
no,large,vegan,3,gas,gasoline,5,10,7,No,"['Paper', 'Plastic', 'Glass', 'Metal']","['Stove', 'Oven', 'Microwave']",119,304
no,small,omnivore,7,gas,gasoline,10,5,2,No,"['Glass', 'Metal']","['Oven', 'Microwave', 'Grill', 'Airfryer']",76,3884
yes,small,omnivore,7,gas,public,10,5,3,Yes,"['Paper', 'Glass', 'Metal']","['Oven', 'Grill', 'Airfryer']",20,716
no,small,vegetarian,3,gas,gasoline,5,10,4,No,"['Plastic', 'Glass']","['Stove', 'Grill', 'Airfryer']",107,7309
no,small,vegetarian,3,gas,gasoline,10,5,1,Yes,"['Paper', 'Plastic', 'Glass', 'Metal']","['Stove', 'Microwave', 'Grill', 'Airfryer']",49,5970
yes,large,omnivore,3,gas,gasoline,5,10,1,No,['Glass'],"['Stove', 'Oven']",105,7607
yes,small,omnivore,7,coal,bikewalk,10,5,7,No,"['Plastic', 'Glass', 'Metal']","['Stove', 'Oven', 'Grill', 'Airfryer']",60,19
no,large,vegan,7,gas,bikewalk,5,5,6,Yes,['Glass'],"['Stove', 'Oven']",40,21
no,small,vegan,3,gas,gasoline,5,10,6,No,"['Paper', 'Glass', 'Metal']",['Oven'],111,741
yes,large,vegan,3,gas,public,5,5,1,No,"['Paper', 'Glass', 'Metal']","['Stove', 'Oven', 'Microwave']",27,931
yes,large,pescatarian,7,gas,gasoline,5,5,6,Yes,"['Plastic', 'Metal']","['Stove', 'Oven']",94,9426
yes,large,vegan,7,gas,bikewalk,5,10,1,Yes,"['Plastic', 'Metal']",['Oven'],10,69
no,small,omnivore,7,coal,gasoline,10,10,7,Yes,"['Paper', 'Plastic', 'Metal']","['Stove', 'Microwave', 'Grill', 'Airfryer']",122,7099
no,large,vegetarian,7,coal,bikewalk,10,10,1,Yes,"['Paper', 'Plastic', 'Glass']",['Stove'],38,74
no,small,omnivore,7,gas,public,5,10,5,Yes,"['Plastic', 'Glass']","['Stove', 'Oven', 'Microwave']",72,940
no,large,vegan,7,coal,public,10,10,3,No,"['Paper', 'Plastic']","['Stove', 'Microwave', 'Grill', 'Airfryer']",86,236
no,large,vegan,7,electricity,gasoline,10,10,3,No,"['Paper', 'Glass']","['Oven', 'Grill', 'Airfryer']",100,1544
no,large,vegetarian,3,electricity,bikewalk,10,5,3,Yes,['Metal'],"['Stove', 'Oven', 'Grill', 'Airfryer']",11,69
no,small,vegetarian,7,electricity,bikewalk,10,10,6,No,"['Paper', 'Plastic']","['Stove', 'Microwave']",62,24
no,large,vegan,7,gas,public,10,5,7,Yes,"['Paper', 'Metal']","['Oven', 'Microwave']",46,733
yes,large,omnivore,7,gas,bikewalk,10,5,3,Yes,"['Paper', 'Plastic']",['Oven'],10,86
no,small,vegan,7,gas,gasoline,10,5,3,No,"['Plastic', 'Glass', 'Metal']","['Stove', 'Oven', 'Microwave', 'Grill', 'Airfryer']",86,2850
no,large,omnivore,7,gas,gasoline,5,10,5,Yes,"['Paper', 'Metal']","['Stove', 'Microwave', 'Grill', 'Airfryer']",118,9199
no,large,vegetarian,3,coal,public,10,10,4,Yes,"['Glass', 'Metal']","['Oven', 'Microwave']",53,1056
yes,small,pescatarian,3,gas,public,10,10,5,Yes,"['Paper', 'Plastic', 'Metal']","['Stove', 'Oven', 'Microwave']",59,948
no,large,omnivore,7,gas,gasoline,5,10,6,Yes,"['Paper', 'Plastic', 'Metal']","['Stove', 'Oven']",118,3203
yes,small,vegetarian,3,electricity,bikewalk,10,10,4,Yes,"['Paper', 'Plastic', 'Metal']",['Oven'],1,63
yes,large,vegetarian,7,electricity,public,10,5,7,No,['Glass'],"['Grill', 'Airfryer']",60,1580
no,small,vegan,7,electricity,gasoline,5,5,2,Yes,"['Plastic', 'Glass']","['Stove', 'Microwave']",46,6921
no,large,pescatarian,7,electricity,bikewalk,10,10,3,Yes,"['Paper', 'Glass', 'Metal']","['Oven', 'Microwave']",16,68
no,large,pescatarian,7,coal,public,10,5,7,No,"['Plastic', 'Glass']","['Stove', 'Microwave', 'Grill', 'Airfryer']",90,159
yes,large,pescatarian,7,gas,gasoline,10,5,6,No,"['Paper', 'Plastic']","['Stove', 'Oven', 'Microwave']",114,4096
yes,small,vegetarian,7,electricity,public,5,5,3,No,"['Paper', 'Plastic', 'Glass', 'Metal']",['Oven'],18,1295
yes,small,vegan,7,gas,public,10,5,6,Yes,"['Plastic', 'Glass']","['Stove', 'Oven']",48,709
yes,small,vegan,7,gas,gasoline,5,10,5,No,"['Plastic', 'Glass', 'Metal']",['Microwave'],106,6329
no,small,omnivore,7,gas,public,10,5,4,No,"['Plastic', 'Metal']","['Oven', 'Microwave']",46,1806
no,small,pescatarian,7,coal,bikewalk,5,5,6,Yes,"['Plastic', 'Glass', 'Metal']","['Oven', 'Grill', 'Airfryer']",30,2
yes,large,vegetarian,7,electricity,bikewalk,10,10,5,Yes,"['Paper', 'Glass', 'Metal']","['Stove', 'Oven', 'Microwave', 'Grill', 'Airfryer']",38,84
yes,small,pescatarian,7,gas,gasoline,10,5,1,Yes,"['Paper', 'Plastic', 'Glass']","['Oven', 'Grill', 'Airfryer']",48,1249
yes,large,omnivore,7,electricity,bikewalk,10,10,6,No,"['Paper', 'Plastic', 'Metal']",['Oven'],56,32
yes,large,pescatarian,7,gas,gasoline,5,5,3,Yes,"['Plastic', 'Glass', 'Metal']",['Oven'],60,1420
yes,small,vegetarian,7,gas,gasoline,10,10,4,Yes,"['Paper', 'Glass']","['Grill', 'Airfryer']",80,2330
yes,large,pescatarian,7,gas,bikewalk,10,10,6,Yes,"['Plastic', 'Glass', 'Metal']","['Stove', 'Microwave']",50,57
yes,large,vegan,7,electricity,bikewalk,5,10,5,Yes,"['Plastic', 'Metal']","['Grill', 'Airfryer']",30,75
no,small,pescatarian,3,electricity,bikewalk,10,5,1,No,['Metal'],"['Stove', 'Microwave']",13,51
yes,large,vegan,3,gas,gasoline,10,5,1,Yes,['Metal'],"['Oven', 'Microwave']",49,7973
yes,small,vegan,7,coal,gasoline,10,10,2,Yes,"['Plastic', 'Glass']","['Microwave', 'Grill', 'Airfryer']",74,9303
no,small,vegan,3,electricity,gasoline,10,10,4,No,['Glass'],"['Stove', 'Microwave']",99,2360
yes,large,vegan,7,gas,gasoline,10,10,5,Yes,"['Plastic', 'Glass', 'Metal']","['Grill', 'Airfryer']",100,5402
yes,large,omnivore,7,electricity,bikewalk,10,10,3,No,['Glass'],"['Stove', 'Oven', 'Microwave']",50,38
no,small,vegan,7,gas,gasoline,10,10,2,No,"['Paper', 'Glass', 'Metal']","['Stove', 'Oven', 'Microwave', 'Grill', 'Airfryer']",96,3694
yes,small,omnivore,7,coal,bikewalk,10,10,2,Yes,['Paper'],"['Stove', 'Microwave', 'Grill', 'Airfryer']",34,11
yes,small,pescatarian,7,gas,gasoline,10,10,4,Yes,"['Paper', 'Plastic']","['Oven', 'Grill', 'Airfryer']",82,2184
yes,small,vegan,7,electricity,bikewalk,10,10,7,No,"['Plastic', 'Glass', 'Metal']","['Oven', 'Microwave', 'Grill', 'Airfryer']",40,48
no,large,vegan,3,gas,public,10,10,7,Yes,"['Glass', 'Metal']","['Oven', 'Microwave', 'Grill', 'Airfryer']",61,465
no,small,vegan,7,electricity,gasoline,10,10,4,No,"['Paper', 'Plastic', 'Metal']","['Oven', 'Grill', 'Airfryer']",90,4576
no,large,omnivore,7,electricity,gasoline,5,10,7,No,"['Plastic', 'Metal']",['Stove'],132,5868
yes,small,pescatarian,7,electricity,public,5,5,2,Yes,"['Glass', 'Metal']",['Oven'],-2,864
yes,large,vegan,7,gas,public,10,5,1,Yes,"['Paper', 'Plastic', 'Glass']","['Stove', 'Grill', 'Airfryer']",20,382
no,small,omnivore,7,gas,gasoline,10,5,4,Yes,['Paper'],"['Oven', 'Grill', 'Airfryer']",74,9375
no,small,omnivore,7,electricity,public,5,10,7,Yes,"['Plastic', 'Metal']",['Oven'],56,364
yes,small,vegetarian,7,electricity,public,10,5,4,Yes,"['Paper', 'Plastic', 'Glass', 'Metal']","['Microwave', 'Grill', 'Airfryer']",-2,518
no,large,pescatarian,7,gas,bikewalk,5,10,6,No,['Glass'],"['Stove', 'Oven', 'Microwave']",80,48
no,small,pescatarian,7,electricity,gasoline,5,5,6,Yes,"['Glass', 'Metal']","['Stove', 'Grill', 'Airfryer']",84,9928
yes,small,omnivore,7,gas,bikewalk,10,5,1,Yes,"['Paper', 'Plastic', 'Glass']","['Oven', 'Microwave']",-14,13
no,small,vegan,7,gas,gasoline,10,10,5,Yes,"['Paper', 'Glass']","['Stove', 'Oven', 'Microwave', 'Grill', 'Airfryer']",110,3570
yes,large,pescatarian,7,gas,gasoline,10,10,3,No,"['Plastic', 'Metal']","['Oven', 'Microwave', 'Grill', 'Airfryer']",104,1748
no,large,vegetarian,3,gas,gasoline,5,5,5,Yes,"['Plastic', 'Metal']","['Oven', 'Microwave']",79,9336
yes,large,omnivore,7,electricity,gasoline,10,10,6,Yes,['Glass'],['Oven'],104,2710
no,large,vegetarian,7,coal,gasoline,10,10,1,No,['Metal'],"['Oven', 'Microwave', 'Grill', 'Airfryer']",112,8964
no,large,omnivore,7,electricity,bikewalk,10,10,6,Yes,['Plastic'],"['Stove', 'Grill', 'Airfryer']",60,42
yes,small,omnivore,7,gas,gasoline,10,5,7,No,"['Plastic', 'Glass']",['Microwave'],100,2221
no,small,omnivore,7,electricity,gasoline,10,5,2,Yes,['Paper'],"['Stove', 'Microwave']",60,9213
yes,large,vegetarian,7,coal,bikewalk,10,10,4,Yes,"['Glass', 'Metal']","['Stove', 'Microwave']",42,31
no,small,vegan,7,electricity,public,5,5,2,Yes,"['Paper', 'Plastic', 'Glass', 'Metal']","['Grill', 'Airfryer']",-8,986
yes,large,vegetarian,7,electricity,gasoline,5,5,7,Yes,['Glass'],"['Stove', 'Oven']",86,8806
no,small,pescatarian,7,coal,bikewalk,5,5,4,No,['Paper'],"['Stove', 'Oven']",48,18
yes,large,omnivore,7,coal,public,10,10,2,No,"['Plastic', 'Glass']",['Stove'],80,955
yes,large,omnivore,7,gas,public,10,5,1,Yes,"['Paper', 'Plastic']","['Stove', 'Oven', 'Grill', 'Airfryer']",30,1377
no,small,pescatarian,7,coal,public,10,10,4,No,"['Paper', 'Plastic', 'Glass', 'Metal']","['Stove', 'Oven', 'Grill', 'Airfryer']",80,1069
yes,large,omnivore,7,electricity,gasoline,10,5,7,No,['Metal'],['Oven'],104,337
yes,large,omnivore,3,electricity,bikewalk,10,10,7,Yes,"['Paper', 'Plastic', 'Metal']","['Stove', 'Microwave']",37,67
yes,large,pescatarian,7,electricity,public,5,10,1,No,['Metal'],"['Stove', 'Grill', 'Airfryer']",58,1855
yes,large,vegetarian,7,gas,bikewalk,10,10,4,No,"['Plastic', 'Metal']","['Oven', 'Grill', 'Airfryer']",46,29
no,small,vegetarian,7,gas,bikewalk,5,5,4,Yes,"['Plastic', 'Glass']",['Oven'],2,57
no,large,omnivore,7,gas,public,5,5,1,No,"['Plastic', 'Glass', 'Metal']","['Stove', 'Microwave']",44,1533
yes,small,pescatarian,7,gas,bikewalk,5,10,6,Yes,"['Paper', 'Metal']","['Microwave', 'Grill', 'Airfryer']",34,95
no,small,omnivore,3,gas,gasoline,10,10,4,Yes,['Paper'],"['Oven', 'Microwave']",85,239
no,small,vegetarian,7,gas,bikewalk,10,10,5,No,"['Paper', 'Plastic', 'Glass']","['Oven', 'Grill', 'Airfryer']",62,73
no,small,pescatarian,7,coal,public,10,10,5,Yes,"['Paper', 'Glass', 'Metal']",['Oven'],74,639
no,small,omnivore,7,gas,public,10,5,1,Yes,"['Plastic', 'Glass']","['Stove', 'Oven', 'Grill', 'Airfryer']",30,853
yes,small,vegan,3,gas,bikewalk,10,10,1,Yes,"['Paper', 'Glass', 'Metal']","['Microwave', 'Grill', 'Airfryer']",-5,35
yes,small,vegetarian,7,gas,bikewalk,10,5,5,Yes,"['Paper', 'Glass']","['Stove', 'Microwave']",26,20
no,large,vegan,7,electricity,gasoline,5,10,6,No,"['Paper', 'Plastic', 'Glass', 'Metal']","['Stove', 'Microwave', 'Grill', 'Airfryer']",114,7749
no,small,vegan,7,coal,public,10,5,7,Yes,"['Paper', 'Plastic', 'Metal']","['Stove', 'Oven', 'Grill', 'Airfryer']",60,1558
no,large,pescatarian,7,coal,bikewalk,5,10,4,No,"['Plastic', 'Glass', 'Metal']",['Stove'],66,70
no,large,vegetarian,7,electricity,gasoline,10,10,6,No,"['Paper', 'Plastic', 'Glass']",['Oven'],118,5847
yes,large,vegan,7,coal,bikewalk,5,10,4,No,['Paper'],"['Stove', 'Oven']",64,4
yes,small,omnivore,7,gas,bikewalk,10,5,2,Yes,['Plastic'],"['Stove', 'Oven']",8,63
yes,small,vegan,7,gas,public,10,10,4,Yes,"['Plastic', 'Metal']",['Oven'],38,1910
no,small,vegan,7,gas,bikewalk,10,5,1,Yes,['Paper'],"['Grill', 'Airfryer']",-2,39
yes,small,vegan,7,gas,public,5,10,3,No,"['Plastic', 'Glass']",['Oven'],54,1603
yes,large,omnivore,7,electricity,gasoline,10,10,2,Yes,"['Paper', 'Plastic']","['Stove', 'Grill', 'Airfryer']",80,9277
yes,large,vegan,7,electricity,public,5,5,2,No,"['Plastic', 'Glass']","['Stove', 'Oven', 'Grill', 'Airfryer']",30,743
yes,small,vegetarian,3,coal,public,10,5,4,No,['Paper'],"['Oven', 'Grill', 'Airfryer']",49,830
yes,small,omnivore,7,coal,public,5,10,4,No,"['Paper', 'Plastic', 'Glass', 'Metal']","['Stove', 'Microwave']",68,102
yes,small,vegan,7,coal,public,10,10,7,Yes,"['Paper', 'Metal']","['Stove', 'Grill', 'Airfryer']",78,1339
no,large,vegan,7,electricity,gasoline,10,10,2,No,['Metal'],"['Grill', 'Airfryer']",94,2016
no,large,pescatarian,7,electricity,public,5,10,7,Yes,['Glass'],"['Stove', 'Oven', 'Microwave', 'Grill', 'Airfryer']",70,1350
no,small,vegetarian,7,gas,gasoline,10,5,7,Yes,"['Glass', 'Metal']","['Stove', 'Grill', 'Airfryer']",96,6492
no,large,pescatarian,7,gas,gasoline,10,5,4,Yes,"['Plastic', 'Glass']","['Stove', 'Microwave', 'Grill', 'Airfryer']",80,729
no,small,omnivore,3,coal,public,5,10,6,Yes,"['Paper', 'Glass']","['Stove', 'Microwave', 'Grill', 'Airfryer']",77,1031
yes,small,pescatarian,7,gas,bikewalk,5,10,6,Yes,['Paper'],"['Grill', 'Airfryer']",42,75
no,small,vegetarian,7,gas,gasoline,5,5,5,No,"['Glass', 'Metal']","['Oven', 'Grill', 'Airfryer']",102,5607
yes,large,pescatarian,7,electricity,bikewalk,5,10,6,Yes,['Plastic'],"['Oven', 'Microwave', 'Grill', 'Airfryer']",34,51
yes,small,vegan,3,gas,bikewalk,5,5,4,No,"['Plastic', 'Glass']",['Stove'],19,35
no,small,vegetarian,3,gas,bikewalk,5,5,4,No,"['Paper', 'Plastic']","['Oven', 'Microwave']",13,25
no,large,vegetarian,3,gas,gasoline,5,10,6,Yes,"['Plastic', 'Metal']",['Microwave'],99,5304
yes,small,vegan,3,electricity,public,10,5,7,Yes,"['Paper', 'Glass', 'Metal']","['Stove', 'Grill', 'Airfryer']",29,1438
no,large,pescatarian,7,coal,bikewalk,5,5,3,No,"['Paper', 'Metal']","['Oven', 'Grill', 'Airfryer']",40,33
yes,small,vegan,7,electricity,public,5,10,6,No,"['Paper', 'Plastic', 'Glass', 'Metal']","['Stove', 'Microwave']",62,1327
no,small,vegan,7,electricity,gasoline,10,5,1,No,['Paper'],['Oven'],68,2746
no,small,vegetarian,7,gas,public,10,5,4,Yes,['Paper'],['Stove'],40,1646
no,large,omnivore,3,gas,bikewalk,10,5,5,Yes,"['Paper', 'Plastic']","['Stove', 'Oven', 'Microwave']",37,47
yes,large,omnivore,7,coal,public,10,5,1,No,"['Plastic', 'Glass', 'Metal']","['Oven', 'Microwave', 'Grill', 'Airfryer']",42,1066
no,small,vegan,7,gas,bikewalk,10,10,5,Yes,['Plastic'],['Stove'],58,24
yes,large,omnivore,7,gas,bikewalk,10,5,2,No,"['Paper', 'Glass']","['Stove', 'Microwave', 'Grill', 'Airfryer']",26,54
no,small,vegan,3,electricity,public,10,5,3,Yes,['Metal'],"['Oven', 'Microwave', 'Grill', 'Airfryer']",9,35
no,small,omnivore,3,electricity,bikewalk,10,10,7,No,"['Paper', 'Metal']",['Stove'],65,2
yes,small,vegetarian,7,gas,gasoline,5,5,5,Yes,['Glass'],"['Stove', 'Oven']",90,8342
no,large,vegetarian,7,gas,bikewalk,5,5,2,No,"['Plastic', 'Glass']","['Stove', 'Grill', 'Airfryer']",28,76
yes,large,vegetarian,3,coal,bikewalk,5,10,6,Yes,"['Plastic', 'Glass']","['Grill', 'Airfryer']",47,66
no,large,pescatarian,7,gas,public,5,10,7,Yes,['Plastic'],"['Oven', 'Microwave']",70,1730
yes,small,vegan,7,gas,public,10,5,7,No,"['Paper', 'Plastic', 'Glass']","['Oven', 'Microwave', 'Grill', 'Airfryer']",50,1789
no,small,omnivore,7,gas,public,10,5,3,Yes,['Paper'],"['Stove', 'Oven', 'Microwave']",40,521
yes,large,pescatarian,3,electricity,public,10,5,7,No,"['Paper', 'Plastic', 'Metal']",['Stove'],59,722
no,large,vegan,7,electricity,gasoline,10,5,5,Yes,"['Paper', 'Plastic', 'Glass']","['Stove', 'Oven', 'Microwave', 'Grill', 'Airfryer']",82,8866
no,large,pescatarian,7,coal,public,10,5,4,Yes,"['Glass', 'Metal']","['Microwave', 'Grill', 'Airfryer']",40,1569
yes,small,vegan,3,gas,public,10,10,1,Yes,['Paper'],"['Oven', 'Grill', 'Airfryer']",27,1430
no,large,pescatarian,3,electricity,gasoline,10,5,3,Yes,['Paper'],"['Oven', 'Grill', 'Airfryer']",63,5320
no,large,vegetarian,3,coal,bikewalk,10,5,2,Yes,"['Paper', 'Plastic']","['Microwave', 'Grill', 'Airfryer']",3,24
no,large,omnivore,3,gas,gasoline,10,10,4,No,"['Paper', 'Plastic', 'Glass']","['Stove', 'Oven', 'Microwave', 'Grill', 'Airfryer']",113,93
yes,large,pescatarian,7,gas,gasoline,10,5,1,No,['Glass'],"['Stove', 'Microwave']",88,2767
no,small,vegetarian,7,gas,bikewalk,10,5,6,Yes,"['Paper', 'Plastic', 'Metal']","['Stove', 'Microwave', 'Grill', 'Airfryer']",28,6
yes,large,omnivore,7,gas,public,5,10,3,Yes,"['Paper', 'Plastic']","['Grill', 'Airfryer']",46,652
yes,large,omnivore,7,gas,public,5,10,3,Yes,['Metal'],"['Stove', 'Microwave', 'Grill', 'Airfryer']",56,973
no,small,omnivore,7,gas,gasoline,10,10,5,Yes,"['Plastic', 'Glass', 'Metal']","['Microwave', 'Grill', 'Airfryer']",102,7779
no,large,vegan,7,electricity,public,5,10,2,Yes,"['Paper', 'Glass', 'Metal']","['Oven', 'Microwave', 'Grill', 'Airfryer']",18,1320
no,small,vegan,3,coal,bikewalk,10,5,5,Yes,['Paper'],"['Grill', 'Airfryer']",33,32
no,large,omnivore,3,coal,public,10,10,5,Yes,"['Paper', 'Plastic', 'Metal']","['Stove', 'Microwave']",83,217
no,small,vegetarian,7,coal,public,10,10,2,No,"['Paper', 'Plastic', 'Glass']","['Stove', 'Oven']",72,1760
no,large,vegan,7,gas,gasoline,5,10,2,No,['Paper'],['Oven'],100,7793
yes,large,pescatarian,7,electricity,gasoline,10,10,2,Yes,"['Paper', 'Plastic', 'Metal']",['Oven'],64,3818
no,large,omnivore,7,electricity,gasoline,10,10,5,Yes,"['Paper', 'Plastic', 'Glass']","['Microwave', 'Grill', 'Airfryer']",98,2791
yes,small,omnivore,7,coal,gasoline,5,5,3,Yes,['Metal'],['Stove'],84,3238
yes,small,omnivore,7,coal,bikewalk,10,10,2,No,['Paper'],['Stove'],58,76
no,small,vegan,3,gas,bikewalk,10,10,3,Yes,['Glass'],"['Stove', 'Grill', 'Airfryer']",33,71
yes,small,vegan,3,gas,gasoline,10,10,7,Yes,"['Paper', 'Glass']","['Stove', 'Grill', 'Airfryer']",103,5945
yes,large,vegan,7,gas,bikewalk,10,10,6,Yes,"['Plastic', 'Metal']","['Stove', 'Oven', 'Microwave']",50,64
no,large,vegan,3,gas,bikewalk,10,10,6,Yes,"['Plastic', 'Glass', 'Metal']","['Grill', 'Airfryer']",41,93
no,small,omnivore,7,electricity,bikewalk,5,10,6,Yes,"['Plastic', 'Glass']",['Oven'],36,48
no,small,vegetarian,7,coal,bikewalk,10,10,6,Yes,['Glass'],['Oven'],60,55
yes,large,omnivore,7,electricity,gasoline,5,10,1,No,"['Paper', 'Plastic']","['Oven', 'Grill', 'Airfryer']",86,9707
yes,large,vegan,7,coal,bikewalk,10,10,3,No,"['Paper', 'Plastic', 'Metal']","['Microwave', 'Grill', 'Airfryer']",46,15
no,small,vegan,7,gas,gasoline,10,5,6,Yes,['Metal'],"['Stove', 'Grill', 'Airfryer']",98,1104
yes,large,vegan,3,gas,gasoline,10,10,1,Yes,['Glass'],"['Stove', 'Microwave', 'Grill', 'Airfryer']",79,966
yes,small,vegetarian,7,gas,bikewalk,10,10,4,Yes,"['Paper', 'Plastic', 'Metal']","['Oven', 'Microwave', 'Grill', 'Airfryer']",12,1
no,large,omnivore,7,coal,gasoline,10,5,4,Yes,['Glass'],"['Stove', 'Oven', 'Microwave']",96,9590
yes,large,omnivore,7,gas,public,10,10,5,Yes,"['Paper', 'Plastic', 'Glass']","['Stove', 'Grill', 'Airfryer']",76,1786
no,large,pescatarian,3,gas,public,10,5,5,Yes,"['Paper', 'Plastic', 'Glass', 'Metal']","['Oven', 'Microwave']",37,1114
yes,small,vegan,7,electricity,bikewalk,10,5,4,No,"['Paper', 'Plastic', 'Metal']","['Oven', 'Microwave']",0,20
no,small,vegetarian,7,gas,public,10,5,4,Yes,"['Paper', 'Glass']","['Stove', 'Grill', 'Airfryer']",36,1942
no,large,pescatarian,7,gas,bikewalk,5,5,6,Yes,"['Plastic', 'Metal']","['Grill', 'Airfryer']",30,83
yes,large,omnivore,3,gas,gasoline,5,5,3,No,"['Paper', 'Metal']","['Microwave', 'Grill', 'Airfryer']",77,7328
yes,large,vegetarian,7,electricity,public,10,10,1,Yes,['Glass'],"['Stove', 'Oven']",40,1834
no,large,omnivore,7,coal,gasoline,10,5,6,Yes,['Plastic'],"['Stove', 'Microwave', 'Grill', 'Airfryer']",116,526
yes,large,vegetarian,3,coal,public,10,5,6,Yes,"['Plastic', 'Glass', 'Metal']","['Stove', 'Grill', 'Airfryer']",57,1415
yes,large,omnivore,7,gas,gasoline,10,5,1,Yes,"['Plastic', 'Metal']","['Grill', 'Airfryer']",60,4667
no,large,omnivore,7,coal,gasoline,5,10,2,No,"['Paper', 'Metal']","['Oven', 'Grill', 'Airfryer']",112,6614
yes,large,pescatarian,7,coal,bikewalk,10,10,3,No,"['Plastic', 'Glass', 'Metal']",['Oven'],54,98
yes,large,pescatarian,3,electricity,public,5,5,7,Yes,"['Paper', 'Plastic']",['Stove'],39,1318
yes,small,vegetarian,7,coal,gasoline,5,10,1,No,"['Paper', 'Glass']","['Stove', 'Grill', 'Airfryer']",106,7206
no,large,vegetarian,7,coal,bikewalk,10,10,4,Yes,"['Paper', 'Plastic', 'Metal']","['Stove', 'Microwave', 'Grill', 'Airfryer']",44,1
yes,large,pescatarian,7,electricity,gasoline,10,5,5,Yes,"['Paper', 'Glass', 'Metal']","['Stove', 'Oven', 'Microwave']",80,4521
yes,small,vegan,3,gas,gasoline,10,10,2,Yes,"['Paper', 'Glass', 'Metal']","['Oven', 'Microwave']",55,345
yes,small,vegetarian,7,gas,bikewalk,5,5,5,Yes,"['Paper', 'Plastic', 'Glass', 'Metal']","['Stove', 'Microwave']",14,48
yes,large,pescatarian,7,gas,public,10,5,2,Yes,"['Paper', 'Metal']","['Oven', 'Grill', 'Airfryer']",18,399
yes,large,omnivore,7,coal,public,10,5,5,No,"['Paper', 'Glass', 'Metal']","['Stove', 'Microwave', 'Grill', 'Airfryer']",82,966
no,small,pescatarian,3,electricity,bikewalk,10,10,1,No,[‘Paper'],['Oven'],27,27
no,large,vegetarian,3,electricity,bikewalk,10,5,5,Yes,"['Paper', 'Plastic']","['Stove', 'Oven', 'Grill', 'Airfryer']",27,87
yes,small,omnivore,7,gas,gasoline,10,5,7,Yes,"['Paper', 'Plastic', 'Metal']","['Stove', 'Oven', 'Grill', 'Airfryer']",90,1009
yes,small,omnivore,7,coal,public,10,5,2,Yes,['Plastic'],['Stove'],38,514
yes,large,pescatarian,7,electricity,public,10,5,3,Yes,['Paper'],['Oven'],22,1627
no,large,vegetarian,7,coal,public,5,5,6,Yes,"['Plastic', 'Metal']","['Stove', 'Oven']",68,1751
yes,large,vegetarian,7,gas,gasoline,10,10,1,Yes,['Glass'],"['Stove', 'Microwave']",86,3234
no,large,vegan,7,electricity,public,10,5,6,Yes,['Paper'],['Microwave'],40,229
no,small,pescatarian,7,gas,bikewalk,10,10,1,Yes,"['Paper', 'Glass', 'Metal']","['Stove', 'Oven', 'Microwave', 'Grill', 'Airfryer']",20,82
yes,large,pescatarian,7,coal,gasoline,10,10,6,No,['Paper'],"['Stove', 'Oven']",152,6220
yes,small,omnivore,3,electricity,public,10,10,6,Yes,"['Paper', 'Plastic', 'Glass', 'Metal']","['Stove', 'Microwave']",47,1127
no,large,pescatarian,3,electricity,public,10,5,3,Yes,['Metal'],"['Stove', 'Microwave']",29,1378
yes,small,vegetarian,3,coal,gasoline,10,10,1,No,"['Paper', 'Plastic']","['Grill', 'Airfryer']",95,1874
no,small,omnivore,7,gas,public,5,10,4,Yes,"['Paper', 'Plastic', 'Metal']","['Oven', 'Microwave', 'Grill', 'Airfryer']",38,1162
no,large,vegan,7,gas,bikewalk,10,10,4,Yes,['Glass'],['Stove'],44,39
no,small,omnivore,7,gas,public,10,5,6,Yes,"['Paper', 'Metal']","['Oven', 'Microwave']",46,1724
no,small,omnivore,7,gas,bikewalk,10,5,1,Yes,['Paper'],"['Stove', 'Oven', 'Microwave', 'Grill', 'Airfryer']",10,33
no,large,pescatarian,7,gas,public,10,10,7,Yes,"['Plastic', 'Glass', 'Metal']","['Grill', 'Airfryer']",70,449
no,large,omnivore,7,gas,gasoline,10,5,7,Yes,[‘Paper'],['Oven'],100,9068
no,large,pescatarian,7,gas,gasoline,10,5,5,Yes,['Plastic'],"['Oven', 'Microwave']",94,8434
no,small,omnivore,7,electricity,bikewalk,5,10,1,No,"['Glass', 'Metal']","['Stove', 'Microwave', 'Grill', 'Airfryer']",32,92
yes,large,vegetarian,7,coal,public,10,10,7,Yes,"['Paper', 'Plastic', 'Metal']",['Oven'],72,748
yes,large,omnivore,3,coal,bikewalk,10,10,7,No,"['Paper', 'Metal']","['Grill', 'Airfryer']",75,74
no,large,vegetarian,7,gas,gasoline,10,5,4,Yes,"['Paper', 'Plastic', 'Metal']","['Stove', 'Oven', 'Microwave', 'Grill', 'Airfryer']",74,596
yes,large,omnivore,7,electricity,bikewalk,10,10,2,Yes,"['Paper', 'Plastic', 'Metal']",['Stove'],16,71
no,small,vegetarian,7,gas,public,10,5,6,No,"['Paper', 'Plastic', 'Metal']",['Oven'],62,764
yes,large,pescatarian,7,gas,gasoline,5,5,5,Yes,['Paper'],"['Stove', 'Oven', 'Grill', 'Airfryer']",98,6816
yes,small,pescatarian,7,gas,gasoline,5,10,4,Yes,['Glass'],['Stove'],92,6527
no,small,omnivore,3,gas,bikewalk,10,10,4,Yes,"['Paper', 'Plastic', 'Metal']","['Stove', 'Oven', 'Microwave']",27,64
